"PACKING LIST　I
一级装箱单","PACKING LIST　I
一级装箱单","PACKING LIST　I
一级装箱单","◆货物供应商（合同丙方）名称及联系电话：扬州庆松化工设备有限公司，联系人X先生　电话XXXXXXXXXXXXX
◆货物制造商（合同丙方的具体配套制造商）名称及联系电话：湖北力拓能源化工装备有限公司，联系人雷先生　电话13545631135
◆与中冶赛迪（合同乙方）合同号：47230072-ME-XXX-X","◆货物供应商（合同丙方）名称及联系电话：扬州庆松化工设备有限公司，联系人X先生　电话XXXXXXXXXXXXX
◆货物制造商（合同丙方的具体配套制造商）名称及联系电话：湖北力拓能源化工装备有限公司，联系人雷先生　电话13545631135
◆与中冶赛迪（合同乙方）合同号：47230072-ME-XXX-X","◆货物供应商（合同丙方）名称及联系电话：扬州庆松化工设备有限公司，联系人X先生　电话XXXXXXXXXXXXX
◆货物制造商（合同丙方的具体配套制造商）名称及联系电话：湖北力拓能源化工装备有限公司，联系人雷先生　电话13545631135
◆与中冶赛迪（合同乙方）合同号：47230072-ME-XXX-X","◆货物供应商（合同丙方）名称及联系电话：扬州庆松化工设备有限公司，联系人X先生　电话XXXXXXXXXXXXX
◆货物制造商（合同丙方的具体配套制造商）名称及联系电话：湖北力拓能源化工装备有限公司，联系人雷先生　电话13545631135
◆与中冶赛迪（合同乙方）合同号：47230072-ME-XXX-X","◆货物供应商（合同丙方）名称及联系电话：扬州庆松化工设备有限公司，联系人X先生　电话XXXXXXXXXXXXX
◆货物制造商（合同丙方的具体配套制造商）名称及联系电话：湖北力拓能源化工装备有限公司，联系人雷先生　电话13545631135
◆与中冶赛迪（合同乙方）合同号：47230072-ME-XXX-X","◆货物供应商（合同丙方）名称及联系电话：扬州庆松化工设备有限公司，联系人X先生　电话XXXXXXXXXXXXX
◆货物制造商（合同丙方的具体配套制造商）名称及联系电话：湖北力拓能源化工装备有限公司，联系人雷先生　电话13545631135
◆与中冶赛迪（合同乙方）合同号：47230072-ME-XXX-X","◆货物供应商（合同丙方）名称及联系电话：扬州庆松化工设备有限公司，联系人X先生　电话XXXXXXXXXXXXX
◆货物制造商（合同丙方的具体配套制造商）名称及联系电话：湖北力拓能源化工装备有限公司，联系人雷先生　电话13545631135
◆与中冶赛迪（合同乙方）合同号：47230072-ME-XXX-X","◆货物供应商（合同丙方）名称及联系电话：扬州庆松化工设备有限公司，联系人X先生　电话XXXXXXXXXXXXX
◆货物制造商（合同丙方的具体配套制造商）名称及联系电话：湖北力拓能源化工装备有限公司，联系人雷先生　电话13545631135
◆与中冶赛迪（合同乙方）合同号：47230072-ME-XXX-X"
"序号",箱件号,中文品名,英文品名,"净重
(kg)","毛重
(kg)","长
(cm)","宽
(cm)","高
(cm)","体积
(m3)",包装类型
1,1/119,填料         KST-K1,filler,756,816,213,189,230,9.26,托盘
2,2/119,填料         KST-K1,filler,756,816,213,189,230,9.26,托盘
3,3/119,填料         KST-K1,filler,720,780,213,189,220,8.86,托盘
4,4/119,填料         KST-K1,filler,720,780,213,189,220,8.86,托盘
5,5/119,填料         KST-K1,filler,727,787,213,189,230,9.2591099999999997,托盘
6,6/119,填料         KST-K1,filler,727,787,213,189,230,9.2591099999999997,托盘
7,7/119,填料         KST-K1,filler,727,787,213,189,230,9.2591099999999997,托盘
8,8/119,填料         KST-K1,filler,727,787,213,189,230,9.2591099999999997,托盘
9,9/119,填料         KST-K1,filler,693,753,213,189,220,8.8565400000000007,托盘
10,10/119,填料         KST-K1,filler,693,753,213,189,220,8.8565400000000007,托盘
11,11/119,填料         KST-K1,filler,693,753,213,189,220,8.8565400000000007,托盘
12,12/119,填料         KST-K1,filler,693,753,213,189,220,8.8565400000000007,托盘
Total:,Total:,Total:,,8632,9352,,,,108.70259999999996,
