"中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三)",中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),地区,工业销售产值(当年价格),工业销售产值(当年价格),资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,负债合计,地区,主营业务成本,销售费用,管理费用,财务费用,财务费用,财务费用,投资收益(损失以-号记),营业利润,利润总额,亏损企业亏损额,平均用工人数(万人)
"单位:亿元",单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,地区,,出口交货值,,固定资产合计,固定资产合计,固定资产合计,固定资产合计,流动资产合计,流动资产合计,流动资产合计,流动资产合计,负债合计,地区,主营业务成本,销售费用,管理费用,,利息收入,利息支出,"投资收益(损失以""""-""""号记)",营业利润,利润总额,亏损企业亏损额,平均用工人数(万人)
"地区",主营业务成本,销售费用,管理费用,财务费用,财务费用,财务费用,"投资收益(损失以""""-""""号记)",营业利润,利润总额,亏损企业亏损额,平均用工人数(万人),地区,,出口交货值,,,,固定资产原价,累计折旧,,应收账款,存货,存货,负债合计,全国,16468.48,324.10,1022.95,139.96,67.69,189.68,58.95,1048.84,1106.68,201.97,190.37
"地区",主营业务成本,销售费用,管理费用,,利息收入,利息支出,"投资收益(损失以""""-""""号记)",营业利润,利润总额,亏损企业亏损额,平均用工人数(万人),地区,,出口交货值,,,,固定资产原价,累计折旧,,应收账款,,产成品,负债合计,北京,325.42,6.72,34.26,3.56,1.29,3.98,2.80,35.66,38.42,3.27,3.68
"全国",6962.59,351.30,608.87,52.52,10.59,59.74,21.65,704.76,743.75,36.88,105.23,全国,69558.22,9915.79,57153.76,12149.66,11336.599999999999,21054.64,9718.04,36400.52,12440.17,6476.82,2923.73,32322.06,天津,986.27,10.24,42.77,3.00,1.88,4.56,-31.11,72.75,75.17,8.02,7.48
"北京",217.41,22.59,35.27,1.12,1.29,1.91,5.35,33.81,39.19,0.81,3.17,北京,767.83,48.62,1221.56,75.16,72.149999999999991,136.91,64.76,927.85,412.72,161.21,43.13,722.41,河北,451.04,9.67,26.12,2.64,1.56,3.87,-2.54,46.93,45.88,7.96,5.66
"天津",67.02,6.35,9.41,0.23,0.04,0.41,0.35,3.33,4.57,0.70,1.23,天津,1118.71,191.17,841.49,202.89,180.4,329.25,148.85,539.65,188.28,113.20,50.65,448.68,山西,115.55,3.56,11.53,1.20,0.07,1.46,1.65,9.01,9.27,1.70,1.63
"河北",77.75,4.41,8.16,0.49,-0.04,0.42,-0.10,12.60,13.72,0.38,1.69,河北,2032.97,65.71,1694.28,497.45,461.47,722.58,261.11,958.81,331.07,175.21,88.88,905.13,内蒙古,25.33,0.73,2.75,-0.18,0.22,0.04,0.03,0.20,0.79,0.49,0.50
"山西",17.85,1.21,2.47,0.15,0.01,0.16,,1.14,1.85,0.15,0.30,山西,171.18,2.42,241.00,74.64,59.139999999999993,80.21,21.07,135.96,71.00,29.93,15.65,175.69,辽宁,947.87,9.25,62.52,1.67,19.07,17.04,16.91,30.38,37.23,7.95,10.91
"内蒙古",6.56,0.16,0.17,0.02,,,,2.48,0.24,,0.02,内蒙古,308.35,3.38,362.97,73.81,63.399999999999991,87.07,23.67,163.61,39.63,46.24,17.28,206.27,吉林,301.63,8.40,27.47,2.28,1.27,2.09,0.54,34.93,36.29,1.29,3.01
"辽宁",124.57,6.31,13.94,1.73,0.15,1.69,0.40,14.17,16.34,0.73,2.41,辽宁,1301.50,111.06,1237.54,355.04,317.25000000000006,659.59,342.34,730.90,268.10,135.77,58.05,660.59,黑龙江,179.21,4.47,23.24,2.05,0.28,2.44,4.16,2.44,4.91,5.37,3.05
